agbd,rh98,lat,lon,NDVI,EVI,NDMI,NBR,SAVI,B02_Blue,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2
104.64559,17.29,10.6080539418361,92.41495935430298,0.88655144,0.8483716,0.4710018,0.7449618,0.6857807,0.039,0.0302,0.5022,0.1806,0.0734
156.34323,24.22,10.60763670581656,92.41526790127378,0.8830871,0.79422987,0.4711523,0.75222605,0.6492811,0.038,0.0281,0.4526,0.1627,0.064
132.6775,28.71,10.606365241573746,92.41619750025836,0.89673346,0.87079614,0.4204919,0.6922595,0.71619594,0.0334,0.0294,0.54,0.2203,0.0982
89.85101,16.84,10.605949398595403,92.41650567347516,0.8956662,0.7793841,0.39351037,0.6862396,0.67067313,0.0262,0.026,0.4724,0.2056,0.0879
80.19169,17.14,10.60553235225922,92.416814075881,0.9131551,0.76096255,0.42806962,0.72497594,0.66186047,0.0222,0.0203,0.4472,0.1791,0.0713
120.950165,20.77,10.605114173512098,92.41712269397276,0.89551264,0.75038147,0.42109543,0.7135018,0.64459586,0.0274,0.0241,0.4372,0.1781,0.0731
69.973465,15.16,10.604696663911486,92.41743115545493,0.90556294,0.8243422,0.4438007,0.716549,0.6945068,0.028,0.0247,0.4984,0.192,0.0823
125.05791,21.3,10.604283110173302,92.41773877942235,0.879811,0.7063351,0.34709677,0.66374505,0.62093616,0.0259,0.0267,0.4176,0.2024,0.0844
83.24507,16.02,10.603864871729222,92.41804735671926,0.89010006,0.72429395,0.36110225,0.67507887,0.63206947,0.0256,0.0247,0.4248,0.1994,0.0824
46.48945,10.74,10.603449868666925,92.41835524788931,0.9053229,0.7719493,0.39344513,0.70225567,0.66179633,0.0259,0.0225,0.4528,0.1971,0.0792
124.55214,26.13,10.603035940371695,92.41866290046316,0.8638996,0.7189333,0.32646406,0.65183914,0.5872704,0.0414,0.0282,0.3862,0.1961,0.0814
91.698204,16.28,10.602613824029989,92.418972233302,0.88780856,0.88644934,0.41917345,0.6448354,0.68824893,0.0461,0.03,0.5048,0.2066,0.109
85.68899,20.47,10.602198684192123,92.41928010748218,0.8528585,0.73325,0.35410956,0.65716684,0.58912385,0.0457,0.0314,0.3954,0.1886,0.0818
89.67537,18.0,10.601783749684389,92.41958792402738,0.87887377,0.7977862,0.4080146,0.6976574,0.6549763,0.0378,0.0299,0.4638,0.195,0.0826
