agbd,rh98,lat,lon,NDVI,EVI,NDMI,NBR,SAVI,B02_Blue,B04_Red,B08_NIR,B11_SWIR1,B12_SWIR2
90.004715,20.66,10.679424067358523,92.40714380326223,0.8414872,0.6688443,0.3096729,0.6140652,0.5677816,0.038,0.0324,0.3764,0.1984,0.09
236.2436,31.52,10.679844278647913,92.40745355912004,0.799713,0.5570657,0.25064805,0.5842384,0.49269298,0.0363,0.0349,0.3136,0.1879,0.0823
51.933407,10.78,10.68067164422001,92.40806792840634,0.8540528,0.705783,0.31048384,0.6270338,0.5853698,0.0402,0.0307,0.39,0.2052,0.0894
210.12209,26.62,10.681090896474466,92.40837732098998,0.86074847,0.7507496,0.35724488,0.66478485,0.6183827,0.0403,0.032,0.4276,0.2025,0.0861
177.6129,25.19,10.681506793065846,92.40868539571123,0.8547335,0.72005004,0.33161125,0.63910973,0.6035249,0.0382,0.0323,0.4124,0.207,0.0908
180.90614,30.96,10.681922961664586,92.40899358597116,0.8529063,0.5812684,0.2670858,0.5765834,0.515289,0.0299,0.0248,0.3124,0.1807,0.0839
183.5605,35.72,10.682339621517894,92.4093019793682,0.792312,0.54753786,0.24165346,0.54538715,0.48821586,0.0358,0.0362,0.3124,0.1908,0.0919
128.2349,20.29,10.682756009488509,92.40961027562497,0.8432226,0.61025095,0.26484874,0.594162,0.53573895,0.0323,0.0288,0.3386,0.1968,0.0862
137.83806,22.76,10.683170565755109,92.40991785973097,0.8676857,0.6994878,0.35107115,0.6490932,0.5931752,0.0345,0.0277,0.391,0.1878,0.0832
113.2317,18.64,10.683590286974876,92.41022749549059,0.84440225,0.5514478,0.2246955,0.5614458,0.49068853,0.0305,0.0246,0.2916,0.1846,0.0819
77.37288,14.79,10.684004927573943,92.41053513820076,0.8488761,0.6833757,0.33980244,0.64580667,0.57993895,0.037,0.0316,0.3866,0.1905,0.0832
84.45648,16.55,10.6844226382284,92.41084400747667,0.8594755,0.6841545,0.3035033,0.6328481,0.5763106,0.0369,0.0284,0.3758,0.2008,0.0845
106.215576,22.54,10.684838790611467,92.41115227642072,0.8565643,0.69203824,0.33264926,0.63938564,0.5863325,0.0362,0.0301,0.3896,0.1951,0.0857
165.98962,23.77,10.685258985649693,92.41146215805233,0.857794,0.7062974,0.3469927,0.65522844,0.60140604,0.035,0.0312,0.4076,0.1976,0.0849
250.29079,33.66,10.685682194057831,92.41177324711151,0.812753,0.6290885,0.31885126,0.6378601,0.5382038,0.0405,0.037,0.3582,0.185,0.0792
87.62927,15.38,10.68609799518195,92.41208142896568,0.85957736,0.715204,0.35407016,0.66206336,0.60360605,0.0363,0.0309,0.4092,0.1952,0.0832
78.487686,15.57,10.686517116128169,92.41239094099824,0.8643985,0.6869448,0.3229867,0.64635193,0.5853538,0.0342,0.0279,0.3836,0.1963,0.0824
184.06003,29.88,10.686940782548364,92.41270226863332,0.86181813,0.7142588,0.35449734,0.65361327,0.60510635,0.0353,0.0304,0.4096,0.1952,0.0858
334.2065,45.15,10.68736015256956,92.4130119204413,0.8059537,0.5893736,0.2969121,0.6043095,0.50834495,0.0398,0.0352,0.3276,0.1776,0.0808
55.204727,13.7,10.687775357632887,92.41331994968004,0.8383233,0.6527821,0.31430608,0.617208,0.55950266,0.0368,0.0324,0.3684,0.1922,0.0872
128.67578,20.66,10.688193543018672,92.41362917932636,0.8340336,0.62138057,0.32498577,0.6506737,0.540872,0.0348,0.0316,0.3492,0.1779,0.0739
29.796902,11.15,10.688611123188993,92.41393819402761,0.8091398,0.50246227,0.22894317,0.5770357,0.45285854,0.0322,0.0284,0.2692,0.1689,0.0722
101.68426,20.06,10.689029230923673,92.4142474422968,0.8450375,0.6469467,0.32885405,0.65389085,0.5521503,0.0367,0.0299,0.356,0.1798,0.0745
154.36237,24.86,10.689446261991929,92.41455629146238,0.82339954,0.60581446,0.29594037,0.6140694,0.5190167,0.0388,0.032,0.3304,0.1795,0.079
225.8368,37.48,10.689864098004241,92.41486548610852,0.82397217,0.5793266,0.27556184,0.5722485,0.50496805,0.0359,0.0304,0.315,0.1789,0.0857
43.43796,10.85,10.690280769553087,92.41517424872882,0.84818476,0.69583035,0.34292567,0.63606006,0.58396447,0.039,0.0322,0.392,0.1918,0.0872
119.0335,21.11,10.690697047568284,92.41548288352878,0.8296169,0.58754456,0.2713548,0.5825915,0.51223814,0.0352,0.0298,0.32,0.1834,0.0844
79.2953,15.68,10.691108525620432,92.41578964837663,0.86381733,0.7612349,0.386966,0.6797583,0.6328149,0.0381,0.0325,0.4448,0.1966,0.0848
217.28763,31.11,10.691531673145494,92.41610104604455,0.8141264,0.48291072,0.18303028,0.54773235,0.42717817,0.0347,0.025,0.244,0.1685,0.0713
298.53342,32.16,10.691945547604595,92.41640880261927,0.84386617,0.72097826,0.3725355,0.6605984,0.58555466,0.0452,0.0336,0.3968,0.1814,0.0811
272.9163,37.36,10.692355541798351,92.41671504638067,0.8401682,0.6424637,0.32100394,0.6401124,0.5445252,0.0385,0.0304,0.35,0.1799,0.0768
222.86243,30.1,10.693185603303473,92.41733156396432,0.8483326,0.7146156,0.34396276,0.65514416,0.59404993,0.0406,0.0332,0.4046,0.1975,0.0843
123.36235,19.02,10.693598584491507,92.41763903474703,0.8534137,0.6701357,0.3362287,0.63616216,0.5676759,0.0368,0.0292,0.3692,0.1834,0.0821
269.29282,38.26,10.694019888809525,92.41794980533648,0.82561886,0.6084404,0.28582257,0.60454106,0.5279944,0.0364,0.0324,0.3392,0.1884,0.0836
447.54346,47.14,10.694438087675735,92.4182593590301,0.84835476,0.6736595,0.3228669,0.62754565,0.58048725,0.0344,0.0318,0.3876,0.1984,0.0887
113.9282,18.75,10.6948545985637,92.41856825384288,0.868918,0.72662747,0.34055775,0.6420066,0.6174613,0.0336,0.0295,0.4206,0.2069,0.0917
177.53027,30.29,10.695273308904051,92.41887802351836,0.8443804,0.6409083,0.31001118,0.6277456,0.5483157,0.0364,0.0297,0.352,0.1854,0.0805
234.96576,36.43,10.695689854605678,92.41918694195057,0.8346949,0.6599795,0.3363668,0.63197273,0.56876236,0.0363,0.0344,0.3818,0.1896,0.0861
183.84029,26.92,10.69611209033738,92.4194981102692,0.82857144,0.6308088,0.27605584,0.57918346,0.54067796,0.0381,0.033,0.352,0.1997,0.0938
177.17104,30.62,10.696529327779327,92.41980730390479,0.80698717,0.49225646,0.18970622,0.5288264,0.4434799,0.0325,0.0279,0.2612,0.1779,0.0805
200.8739,31.97,10.696947171404458,92.42011673496725,0.7948227,0.50904703,0.22969128,0.53989583,0.45891258,0.0336,0.0321,0.2808,0.1759,0.0839
